,from_aggr_zone,to_aggr_zone,product_group,year,amount_tons
289,(L)Ofoten og Vesterålen,Nordland,Break bulk (slow),2020,30480.284325522665
290,(L)Ofoten og Vesterålen,Nordland,Break bulk (slow),2025,37865.74702222939
291,(L)Ofoten og Vesterålen,Nordland,Break bulk (slow),2030,47368.98575390503
292,(L)Ofoten og Vesterålen,Nordland,Break bulk (slow),2040,51665.12462715476
293,(L)Ofoten og Vesterålen,Nordland,Break bulk (slow),2050,54876.305949116
294,(L)Ofoten og Vesterålen,Nordland,Container (fast),2018,25819.41926755071
295,(L)Ofoten og Vesterålen,Nordland,Container (fast),2020,24713.468625364538
296,(L)Ofoten og Vesterålen,Nordland,Container (fast),2025,29190.892662039394
297,(L)Ofoten og Vesterålen,Nordland,Container (fast),2030,34552.374629767655
298,(L)Ofoten og Vesterålen,Nordland,Container (fast),2040,45156.47953997262
299,(L)Ofoten og Vesterålen,Nordland,Container (fast),2050,52326.93199188727
300,(L)Ofoten og Vesterålen,Nordland,Container (slow),2018,25492.9314864433
301,(L)Ofoten og Vesterålen,Nordland,Container (slow),2020,23929.729056350767
302,(L)Ofoten og Vesterålen,Nordland,Container (slow),2025,26962.802997286297
303,(L)Ofoten og Vesterålen,Nordland,Container (slow),2030,30396.858382121565
304,(L)Ofoten og Vesterålen,Nordland,Container (slow),2040,35384.50977152804
305,(L)Ofoten og Vesterålen,Nordland,Container (slow),2050,40246.74998812647
306,(L)Ofoten og Vesterålen,Nordland,Dry bulk,2018,298203.91386220074
307,(L)Ofoten og Vesterålen,Nordland,Dry bulk,2020,284135.3476081127
308,(L)Ofoten og Vesterålen,Nordland,Dry bulk,2025,314050.8506939759
309,(L)Ofoten og Vesterålen,Nordland,Dry bulk,2030,347925.6864431055
310,(L)Ofoten og Vesterålen,Nordland,Dry bulk,2040,343937.7016405747
311,(L)Ofoten og Vesterålen,Nordland,Dry bulk,2050,351653.1533113143
312,(L)Ofoten og Vesterålen,Nordland,Liquid bulk,2018,1463.9014863330135
313,(L)Ofoten og Vesterålen,Nordland,Liquid bulk,2020,1515.4758837105073
314,(L)Ofoten og Vesterålen,Nordland,Liquid bulk,2025,1382.1022928329837
315,(L)Ofoten og Vesterålen,Nordland,Liquid bulk,2030,1260.4667548627206
316,(L)Ofoten og Vesterålen,Nordland,Liquid bulk,2040,956.2061361936379
317,(L)Ofoten og Vesterålen,Nordland,Liquid bulk,2050,756.8855825340868
318,(L)Ofoten og Vesterålen,Nordland,Neo bulk,2018,2569.0285676902026
319,(L)Ofoten og Vesterålen,Nordland,Neo bulk,2020,2555.0459970320026
320,(L)Ofoten og Vesterålen,Nordland,Neo bulk,2025,2868.108094819972
321,(L)Ofoten og Vesterålen,Nordland,Neo bulk,2030,3222.7034316199515
