,path,product,time_period,weight,scenario
8795,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Wet bulk,2020,22.19483902127596,AVG22
8796,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Dry bulk,2025,2.1184529119691686,AVG22
8797,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Fish,2025,0.039127910950028294,AVG22
8798,"[('Bergen', 'Kristiansand', 'Sea', 1)]",General cargo,2025,7.003415396747321,AVG22
8799,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Industrial goods,2025,5.7932936546495,AVG22
8800,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Other thermo,2025,0.25956501775868407,AVG22
8801,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Wet bulk,2025,21.684184000166628,AVG22
8802,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Dry bulk,2030,2.4570121921448766,AVG22
8803,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Fish,2030,0.04481450811659537,AVG22
8804,"[('Bergen', 'Kristiansand', 'Sea', 1)]",General cargo,2030,8.170285547921246,AVG22
8805,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Industrial goods,2030,6.787226713104393,AVG22
8806,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Other thermo,2030,0.2984525488729299,AVG22
8807,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Wet bulk,2030,21.193870421460854,AVG22
8808,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Dry bulk,2040,2.4869269976766475,AVG22
8809,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Fish,2040,0.05336657230120773,AVG22
8810,"[('Bergen', 'Kristiansand', 'Sea', 1)]",General cargo,2040,9.065133095758808,AVG22
8811,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Industrial goods,2040,7.244887935014331,AVG22
8812,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Other thermo,2040,0.3575865208483876,AVG22
8813,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Wet bulk,2040,17.971083681236838,AVG22
8814,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Dry bulk,2050,2.8624080649016905,AVG22
8815,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Fish,2050,0.06265929856413663,AVG22
8816,"[('Bergen', 'Kristiansand', 'Sea', 1)]",General cargo,2050,10.654596814832447,AVG22
8817,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Industrial goods,2050,8.506860487888934,AVG22
8818,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Other thermo,2050,0.439475491529682,AVG22
8819,"[('Bergen', 'Kristiansand', 'Sea', 1)]",Wet bulk,2050,15.816143040658428,AVG22
8820,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Dry bulk,2020,0.9444835526004485,AVG22
8821,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Fish,2020,0.07026723705079695,AVG22
8822,"[('Kristiansand', 'Bergen', 'Sea', 1)]",General cargo,2020,22.03453467282113,AVG22
8823,"[('Kristiansand', 'Bergen', 'Sea', 1)]",Industrial goods,2020,7.918554030653224,AVG22
